Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,MSFT,TSLA,AAPL,AMZN,MSFT,TSLA,AAPL,AMZN,MSFT,TSLA,AAPL,AMZN,MSFT,TSLA,AAPL,AMZN,MSFT,TSLA,AAPL,AMZN,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-21,183.2364044189453,124.83000183105469,331.56793212890625,259.4599914550781,183.9600067138672,124.83000183105469,333.55999755859375,259.4599914550781,185.41000366210938,126.7300033569336,337.7300109863281,276.989990234375,182.58999633789062,123.8499984741211,332.07000732421875,257.7799987792969,184.89999389648438,125.63999938964844,336.3699951171875,275.1300048828125,49515700,52137700,25117800,211797100
2023-06-22,186.26443481445312,130.14999389648438,337.68115234375,264.6099853515625,187.0,130.14999389648438,339.7099914550781,264.6099853515625,187.0500030517578,130.3300018310547,340.1199951171875,265.0,183.6699981689453,125.13999938964844,333.3399963378906,248.25,183.74000549316406,125.30999755859375,334.1199951171875,250.77000427246094,51245300,90354600,23556800,166875900
2023-06-23,185.94569396972656,129.3300018310547,333.0191955566406,256.6000061035156,186.67999267578125,129.3300018310547,335.0199890136719,256.6000061035156,187.55999755859375,130.83999633789062,337.9599914550781,262.45001220703125,185.00999450683594,128.27999877929688,333.45001220703125,252.8000030517578,185.5500030517578,129.11000061035156,334.3599853515625,259.2900085449219,53079300,71855200,23084700,176584100
2023-06-26,184.54122924804688,127.33000183105469,326.6375427246094,241.0500030517578,185.27000427246094,127.33000183105469,328.6000061035156,241.0500030517578,188.0500030517578,131.49000549316406,336.1099853515625,258.3699951171875,185.22999572753906,127.0999984741211,328.489990234375,240.6999969482422,186.8300018310547,129.3300018310547,333.7200012207031,250.07000732421875,48088700,59989300,21520600,179990600
2023-06-27,187.32025146484375,129.17999267578125,332.5718994140625,250.2100067138672,188.05999755859375,129.17999267578125,334.57000732421875,250.2100067138672,188.38999938964844,130.08999633789062,336.1499938964844,250.38999938964844,185.6699981689453,127.55000305175781,329.29998779296875,240.85000610351562,185.88999938964844,128.6300048828125,331.8599853515625,243.24000549316406,50730800,46801000,24354100,164968200
2023-06-28,188.50558471679688,129.0399932861328,333.84423828125,256.239990234375,189.25,129.0399932861328,335.8500061035156,256.239990234375,189.89999389648438,131.47999572753906,337.9800109863281,259.8800048828125,187.60000610351562,128.44000244140625,333.80999755859375,248.88999938964844,187.92999267578125,128.94000244140625,334.6600036621094,249.6999969482422,51216800,52149500,20259500,159770800
2023-06-29,188.84425354003906,127.9000015258789,333.04901123046875,257.5,189.58999633789062,127.9000015258789,335.04998779296875,257.5,190.07000732421875,129.25999450683594,336.1099853515625,260.739990234375,188.94000244140625,127.26000213623047,332.6199951171875,253.61000061035156,189.0800018310547,128.77000427246094,334.7099914550781,258.0299987792969,46347300,40761000,16997000,131283400
2023-06-30,193.20703125,130.36000061035156,338.5061950683594,261.7699890136719,193.97000122070312,130.36000061035156,340.5400085449219,261.7699890136719,194.47999572753906,131.25,342.7300109863281,264.45001220703125,191.25999450683594,128.9499969482422,337.20001220703125,259.8900146484375,191.6300048828125,129.47000122070312,337.75,260.6000061035156,85069600,54310500,26823800,112267600
2023-07-03,191.70297241210938,130.22000122070312,335.971435546875,279.82000732421875,192.4600067138672,130.22000122070312,337.989990234375,279.82000732421875,193.8800048828125,131.85000610351562,340.8999938964844,284.25,191.75999450683594,130.07000732421875,336.57000732421875,275.1099853515625,193.77999877929688,130.82000732421875,339.19000244140625,276.489990234375,31458200,28264800,12508700,119685900
2023-07-05,190.577392578125,130.3800048828125,336.1304931640625,282.4800109863281,191.3300018310547,130.3800048828125,338.1499938964844,282.4800109863281,192.97999572753906,131.39999389648438,341.6499938964844,283.8500061035156,190.6199951171875,129.63999938964844,334.7300109863281,277.6000061035156,191.57000732421875,130.24000549316406,335.0899963378906,278.82000732421875,46920300,35895400,18172400,131530900
2023-07-06,191.05551147460938,128.36000061035156,339.2318420410156,276.5400085449219,191.80999755859375,128.36000061035156,341.2699890136719,276.5400085449219,192.02000427246094,128.72999572753906,342.989990234375,279.9700012207031,189.1999969482422,127.37000274658203,335.5,272.8800048828125,189.83999633789062,128.25,337.29998779296875,278.0899963378906,45094300,40639900,28161200,120332100
2023-07-07,189.92994689941406,129.77999877929688,335.2060546875,274.42999267578125,190.67999267578125,129.77999877929688,337.2200012207031,274.42999267578125,192.6699981689453,130.97000122070312,341.7900085449219,280.7799987792969,190.24000549316406,128.1300048828125,337.0,273.7699890136719,191.41000366210938,128.58999633789062,339.32000732421875,278.42999267578125,46778000,41928700,21185300,113602000
2023-07-10,187.86810302734375,127.12999725341797,329.84820556640625,269.6099853515625,188.61000061035156,127.12999725341797,331.8299865722656,269.6099853515625,189.99000549316406,129.27999877929688,335.2300109863281,277.5199890136719,187.0399932861328,125.91999816894531,327.5899963378906,265.1000061035156,189.25999450683594,129.07000732421875,334.6000061035156,276.4700012207031,59922200,61889300,32791400,119425400
2023-07-11,187.34019470214844,128.77999877929688,330.4844055175781,269.7900085449219,188.0800018310547,128.77999877929688,332.4700012207031,269.7900085449219,189.3000030517578,129.77000427246094,332.8599853515625,270.8999938964844,186.60000610351562,127.3499984741211,327.0,266.3699951171875,189.16000366210938,127.75,331.05999755859375,268.6499938964844,46638100,49951500,26698200,91972400
2023-07-12,189.02354431152344,130.8000030517578,335.1861877441406,271.989990234375,189.77000427246094,130.8000030517578,337.20001220703125,271.989990234375,191.6999969482422,131.25999450683594,341.6499938964844,276.5199890136719,188.47000122070312,128.8300018310547,335.6700134277344,271.4599914550781,189.67999267578125,130.30999755859375,336.6000061035156,276.3299865722656,60750200,54022800,29995300,95672100
2023-07-13,189.79049682617188,134.3000030517578,340.6135559082031,277.8999938964844,190.5399932861328,134.3000030517578,342.6600036621094,277.8999938964844,191.19000244140625,134.6699981689453,343.739990234375,279.45001220703125,189.77999877929688,132.7100067138672,339.0199890136719,270.6000061035156,190.5,134.0399932861328,339.55999755859375,274.5899963378906,41342300,61170900,20567200,112681500
2023-07-14,189.93992614746094,134.67999267578125,343.1781311035156,281.3800048828125,190.69000244140625,134.67999267578125,345.239990234375,281.3800048828125,191.17999267578125,136.64999389648438,351.42999267578125,285.29998779296875,189.6300048828125,134.05999755859375,344.30999755859375,276.30999755859375,190.22999572753906,134.05999755859375,347.5899963378906,277.010009765625,41573900,54388100,28302200,119771100
2023-07-17,193.22694396972656,133.55999755859375,343.6652526855469,290.3800048828125,193.99000549316406,133.55999755859375,345.7300109863281,290.3800048828125,194.32000732421875,135.6199951171875,346.989990234375,292.2300109863281,191.80999755859375,133.2100067138672,342.20001220703125,283.57000732421875,191.89999389648438,134.55999755859375,345.67999267578125,286.6300048828125,50520200,48450200,20363900,131569600
2023-07-18,192.9679718017578,132.8300018310547,357.34307861328125,293.3399963378906,193.72999572753906,132.8300018310547,359.489990234375,293.3399963378906,194.3300018310547,133.86000061035156,366.7799987792969,295.260009765625,192.4199981689453,131.35000610351562,342.1700134277344,286.010009765625,193.35000610351562,132.7100067138672,345.8299865722656,290.1499938964844,48353800,54969100,64872700,112434700
2023-07-19,194.33258056640625,135.36000061035156,352.9593811035156,291.260009765625,195.10000610351562,135.36000061035156,355.0799865722656,291.260009765625,198.22999572753906,135.99000549316406,362.4599914550781,299.2900085449219,192.64999389648438,132.52999877929688,352.44000244140625,289.5199890136719,193.10000610351562,133.38999938964844,361.75,296.0400085449219,80507300,54531000,39732900,142355400
2023-07-20,192.37033081054688,129.9600067138672,344.79840087890625,262.8999938964844,193.1300048828125,129.9600067138672,346.8699951171875,262.8999938964844,196.47000122070312,134.7899932861328,357.9700012207031,280.92999267578125,192.5,129.3300018310547,345.3699951171875,261.20001220703125,195.08999633789062,134.07000732421875,353.57000732421875,279.55999755859375,59581200,59820600,33778400,175158300
2023-07-21,191.18499755859375,130.0,341.7169189453125,260.0199890136719,191.94000244140625,130.0,343.7699890136719,260.0199890136719,194.97000122070312,131.3699951171875,350.29998779296875,268.0,191.22999572753906,128.4199981689453,339.8299865722656,255.8000030517578,194.10000610351562,131.33999633789062,349.1499938964844,268.0,71917800,133265000,69368900,161050100
2023-07-24,191.9918212890625,128.8000030517578,343.0489196777344,269.05999755859375,192.75,128.8000030517578,345.1099853515625,269.05999755859375,194.91000366210938,131.66000366210938,346.9200134277344,269.8500061035156,192.25,128.35000610351562,342.30999755859375,254.1199951171875,193.41000366210938,130.30999755859375,345.8500061035156,255.85000610351562,45377800,45591100,26678100,136508500
